Product,Production (Mn.Kg/Nuts),Exports (US Mn),Month,Year
Coconut,260.7,32.7,February,2024
Tea,19.6,124.9,March,2024
Rubber,4.6,2.7,March,2024
Coconut,282,38.1,March,2024
Tea,21.5,95.5,April,2024
Rubber,5.1,1.4,April,2024
Coconut,253.5,30,April,2024
Tea,24.5,115,May,2024
Rubber,4.4,1.9,May,2024
Coconut,268,32.6,May,2024
Tea,23,121.7,June,2024
Rubber,4.7,1.7,June,2024
Coconut,274.9,33,June,2024
Tea,22.9,124.7,July,2024
Rubber,5.5,1.9,July,2024
Coconut,272.7,38.4,July,2024
Tea,21.3,130.5,August,2024
Rubber,5,2.7,August,2024
Coconut,296.1,42.6,August,2024
Tea,24.1,117,September,2024
Rubber,4.6,2.3,September,2024
Coconut,220.5,35.6,September,2024
Tea,21.1,126.8,October,2024
Rubber,5.2,2.8,October,2024
Coconut,203.8,40.1,October,2024
Tea,22.3,118.2,November,2024
Rubber,5,2.1,November,2024
Coconut,191,32.7,November,2024
Tea,21.7,131.6,December,2024
Rubber,4.5,2.4,December,2024
Coconut,170.1,36,December,2024
