Month,Product,Production (Mn.Kg/Nuts),Exports (US Mn)
Mar-22,Coconut,296.1,36.7
Apr-22,Tea,23.2,80.4
Apr-22,Rubber,6.4,3.1
Apr-22,Coconut,285.2,34
May-22,Tea,26.4,93.7
May-22,Rubber,5.9,2.7
May-22,Coconut,280,36.5
Jun-22,Tea,20.3,116.5
Jun-22,Rubber,5.2,2.8
Jun-22,Coconut,303.5,40.5
Jul-22,Tea,19.9,117.5
Jul-22,Rubber,5.3,2.9
Jul-22,Coconut,282.3,33.1
Aug-22,Tea,18.3,124.4
Aug-22,Rubber,6.5,3.2
Aug-22,Coconut,296.4,35.5
Sep-22,Tea,21.2,117.8
Sep-22,Rubber,5.6,3.3
Sep-22,Coconut,285.1,29.7
Oct-22,Tea,19,108.7
Oct-22,Rubber,5.2,3.4
Oct-22,Coconut,280.3,37.9
Nov-22,Tea,20.4,105.7
Nov-22,Rubber,5,2
Nov-22,Coconut,265.1,23.6
Dec-22,Tea,19.7,107.3
Dec-22,Rubber,6.7,3.2
Dec-22,Coconut,271.3,24.8
Jan-23,Tea,19.1,99.6
Jan-23,Rubber,6.5,3.2
Jan-23,Coconut,256.8,22
Feb-23,Tea,18.7,104.6
Feb-23,Rubber,5.7,3.9
Feb-23,Coconut,259.1,25
Mar-23,Tea,21.3,110.1
Mar-23,Rubber,6.5,3.7
Mar-23,Coconut,274.4,28.8
Apr-23,Tea,25.1,93.4
Apr-23,Rubber,6.3,2.2
Apr-23,Coconut,255.2,25.4
May-23,Tea,26.5,116.3
May-23,Rubber,6,2.5
May-23,Coconut,269.4,31.4
Jun-23,Tea,23,111.5
Jun-23,Rubber,6.1,1.8
Jun-23,Coconut,257.1,28.5
Jul-23,Tea,21.4,115.2
Jul-23,Rubber,6.2,2
Jul-23,Coconut,265,31.2
Aug-23,Tea,18.3,119.6
Aug-23,Rubber,6,2
Aug-23,Coconut,275.9,31.8
Sep-23,Tea,18.7,120
Sep-23,Rubber,4.5,2.3
Sep-23,Coconut,268.2,32.4
Oct-23,Tea,22.9,95.6
Oct-23,Rubber,3.7,1.5
Oct-23,Coconut,268.1,28.5
Nov-23,Tea,19.6,112.8
Nov-23,Rubber,3.5,1.5
Nov-23,Coconut,264.8,28.7
Dec-23,Tea,19.8,111.1
Dec-23,Rubber,3.4,1.5
Dec-23,Coconut,254.1,23.2
Jan-24,Tea,18.7,102.2
Jan-24,Rubber,5.6,1.7
Jan-24,Coconut,245.6,24.8
Feb-24,Tea,20,127.7
Feb-24,Rubber,4.5,2.3
Feb-24,Coconut,260.7,32.7
Mar-24,Tea,19.6,124.9
Mar-24,Rubber,4.6,2.7
Mar-24,Coconut,282,38.1
Apr-24,Tea,21.5,95.5
Apr-24,Rubber,5.1,1.4
Apr-24,Coconut,253.5,30
May-24,Tea,24.5,115
May-24,Rubber,4.4,1.9
May-24,Coconut,268,32.6
Jun-24,Tea,23,121.7
Jun-24,Rubber,4.7,1.7
Jun-24,Coconut,274.9,33
Jul-24,Tea,22.9,124.7
Jul-24,Rubber,5.5,1.9
Jul-24,Coconut,272.7,38.4
Aug-24,Tea,21.3,130.5
Aug-24,Rubber,5,2.7
Aug-24,Coconut,296.1,42.6
Sep-24,Tea,24.1,117
Sep-24,Rubber,4.6,2.3
Sep-24,Coconut,220.5,35.6
Oct-24,Tea,21.1,126.8
Oct-24,Rubber,5.2,2.8
Oct-24,Coconut,203.8,40.1
Nov-24,Tea,22.3,118.2
Nov-24,Rubber,5,2.1
Nov-24,Coconut,191,32.7
Dec-24,Tea,21.7,131.6
Dec-24,Rubber,4.5,2.4
Dec-24,Coconut,170.1,36
